매장명,주소,위도,경도
구의역이스트폴,"서울특별시 광진구 아차산로 402 (자양동), 1층 1522-3232",37.53657397,127.087857
구파발사거리,서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호 1522-3232,37.639617,126.91881
구파발역,서울특별시 은평구 진관2로 12 1522-3232,37.63446,126.918881
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동) 1522-3232,37.499517,127.031495
국립중앙의료원,서울특별시 중구 을지로 251 (을지로6가) 1522-3232,37.566516,127.0062376
국회대로,서울특별시 영등포구 국회대로 786 (여의도동) 1522-3232,37.53026,126.919549
국회의사당역,서울특별시 영등포구 의사당대로 8 (여의도동) 1522-3232,37.5280541,126.9171195
군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층 1522-3232,37.55769507,127.0790879
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩 1522-3232,37.55702607,127.0791098
굽은다리역,"서울특별시 강동구 양재대로 1568 (명일동, 원일타워) 1522-3232",37.54526204,127.1429835
그랑서울,서울특별시 종로구 종로 33 (청진동) 1522-3232,37.57078677,126.9812094
금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동), 엠메디컬타워 1층 1522-3232",37.45588673,126.8956825
금천금나래,서울특별시 금천구 시흥대로79길 23 (시흥동) 1층 1522-3232,37.45868985,126.897
금천독산,서울특별시 금천구 두산로 70 (독산동) 1522-3232,37.46957081,126.8956578
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동) 1522-3232,37.44875938,126.9032388
금호역,서울특별시 성동구 동호로 99 (금호동4가) 1522-3232,37.5479582,127.0157635
길동역,서울특별시 강동구 양재대로 1487 (길동) 1522-3232,37.53870167,127.1401395
길음뉴타운,"서울특별시 성북구 길음로 11 (길음동, 길음역롯데캐슬트윈골드아파트) 1522-3232",37.603633,127.023459
길음역,서울특별시 성북구 정릉로 376 (돈암동) 1522-3232,37.602139,127.025271
김포공항DT,서울특별시 강서구 개화동로 517 (방화동) 1522-3232,37.56627942,126.8060664
김포공항국내선,서울특별시 강서구 하늘길 112 (공항동) 1522-3232,37.55912618,126.8023925
김포공항국제선,서울특별시 강서구 하늘길 38 (방화동) 1522-3232,37.5660449,126.8005038
까치산역,서울특별시 강서구 강서로13길 3 (화곡동) 1522-3232,37.53232351,126.8461233
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동) 1522-3232,37.47624317,126.9651172
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동) 1522-3232,37.47776013,126.9611426
남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동) 1522-3232",37.577386,126.920815
남부순환로방배DT,서울특별시 서초구 남부순환로 2230 (방배동) 1522-3232,37.4732569,126.9960094
남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동) 1522-3232",37.48467334,127.0169464
남부터미널역5번출구,서울특별시 서초구 효령로 274 (서초동) 1522-3232,37.48436736,127.0142192
남산단암,"서울특별시 중구 소월로 10, 단암빌딩 (남대문로5가) 1522-3232",37.55853622,126.9754585
남성역,서울특별시 동작구 사당로 219 (사당동) 1522-3232,37.4841198,126.9725739
남영동,서울특별시 용산구 한강대로 275 (갈월동) 1522-3232,37.54289238,126.9722942
내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호 1522-3232",37.55467,126.83672
내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩 1522-3232,37.490004,126.992455
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호 1522-3232",37.513068,126.946537
노량진역,서울특별시 동작구 노량진로 134 (노량진동) 1522-3232,37.51339,126.940879
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동) 1522-3232",37.654562,127.063617
노원구청,서울특별시 노원구 노해로 447 (상계동) 1522-3232,37.6539896,127.057755
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트) 1522-3232",37.66108907,127.0580154
노원상계,서울특별시 노원구 동일로215길 2 (상계동) 1522-3232,37.651535,127.061026
노원역,서울특별시 노원구 동일로 1413 (상계동) 1층 1522-3232,37.654751,127.060034
녹번역,"서울특별시 은평구 통일로 636 (녹번동) 110,111,112,113,114,115호 1522-3232",37.60330762,126.9352857
논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층 1522-3232,37.51143761,127.0205487
논현역사거리,서울특별시 강남구 강남대로 538 (논현동) 1522-3232,37.510178,127.022223
논현힐탑,서울특별시 강남구 논현로 648 (논현동) 1522-3232,37.511685,127.032187
뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽 1522-3232,37.51031339,127.0069582
답십리역,서울특별시 동대문구 천호대로 263 (답십리동) 1522-3232,37.568466,127.051106
답십리초교사거리,서울특별시 동대문구 전농로 38 (답십리동) 1522-3232,37.56825403,127.0572409
당산,서울특별시 영등포구 양평로 64 (당산동6가) 1522-3232,37.53510012,126.8999254
당산대로,서울특별시 영등포구 양평로 22 (당산동6가) 1522-3232,37.533121,126.903804
당산역사거리,서울특별시 영등포구 양평로 47 (당산동5가) 1522-3232,37.53399515,126.9011205
대륭서초타워,서울특별시 서초구 강남대로 327 (서초동) 1522-3232,37.49207973,127.0300193
대치,서울특별시 강남구 도곡로 511 (대치동) 1522-3232,37.49966175,127.0622171
대치사거리,서울특별시 강남구 삼성로 402 (대치동) 1522-3232,37.503331,127.058817
대치삼성,서울특별시 강남구 영동대로 237 (대치동) 1522-3232,37.500313,127.066961
대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호 1522-3232,37.493554,127.061874
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동) 1522-3232,37.498973,127.060172
대치재경빌딩,서울특별시 강남구 남부순환로 2947 (대치동) 1522-3232,37.494668,127.062583
대치한티,서울특별시 강남구 선릉로 324 (대치동) 1522-3232,37.4984818,127.052066
대학로,"서울특별시 종로구 대학로 57, 홍익대학교 대학로캠퍼스 內 (연건동) 1522-3232",37.57649164,127.001471
대한상공회의소R,서울특별시 중구 세종대로 39 (남대문로4가) 1층 1522-3232,37.560938,126.973702
더북한산,서울특별시 은평구 대서문길 24-11 (진관동) 1522-3232,37.65545766,126.9475564
더현대서울(B2)R,서울특별시 영등포구 여의대로 108 (여의도동) 1522-3232,37.52588346,126.9286582
덕성여대,서울특별시 도봉구 삼양로 536 (쌍문동) 1522-3232,37.650906,127.013279
도곡공원,서울특별시 강남구 도곡로 205 (역삼동) 1522-3232,37.492805,127.041309
도곡역,서울특별시 강남구 남부순환로 2909 (대치동) 1522-3232,37.492167,127.057398
도봉구청,서울특별시 도봉구 마들로 665 (도봉동) 1522-3232,37.66950348,127.046038
도봉로DT,서울특별시 도봉구 도봉로 635 (쌍문동) 1522-3232,37.66118059,127.0416301
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동) 1522-3232",37.5173623,127.0232957
도산사거리,서울특별시 강남구 언주로 727 (논현동) 1522-3232,37.51966,127.0341
독립문역,서울특별시 종로구 송월길 155 경희궁자이 4단지 1층 팰리스애비뉴 4114~4119호 1522-3232,37.571432,126.961269
독산사거리,서울특별시 금천구 시흥대로 426 (독산동) 1522-3232,37.47158263,126.8986055
독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 1층 1522-3232",37.46770967,126.887674
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동) 1522-3232",37.556928,126.919819
동국대,서울특별시 중구 서애로 1길 11 1522-3232,37.561542,126.998437
동대문공원,서울특별시 중구 장충단로 229 (광희동1가) 1522-3232,37.565133,127.007191
동대문두타,서울특별시 중구 장충단로 275 (을지로6가) 1522-3232,37.5691,127.0088
동대문디자인플라자,서울특별시 중구 을지로 281 (을지로7가) 디자인장터 1522-3232,37.5675,127.0094
동대문역사문화공원역,서울특별시 중구 퇴계로 325-9 (광희동2가) 1522-3232,37.56487791,127.0079392
동대입구역,서울특별시 중구 장충단로 166 (장충동1가) 1522-3232,37.55968044,127.0062029
동부이촌동,서울특별시 용산구 이촌로 198 (이촌동) 1522-3232,37.52111,126.96905
동빙고,서울특별시 용산구 장문로 12 (동빙고동) 1522-3232,37.52900453,126.9917628
동숭길입구,서울특별시 종로구 대학로 146 (혜화동) 1522-3232,37.584191,127.001859
동숭로아트,서울특별시 종로구 동숭길 110 (동숭동) 1522-3232,37.582969,127.003876
동여의도,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비 1522-3232,37.52063016,126.9316864
동작대로,서울특별시 서초구 동작대로 72 (방배동) 1522-3232,37.4829998,126.9823669
동호로,서울특별시 중구 동호로 171 (신당동) 1522-3232,37.5534784,127.0113052
둔촌동,서울특별시 강동구 양재대로 1303 (성내동) 평원빌딩 1522-3232,37.52264171,127.1339866
둔촌포레온스테이션5,"서울특별시 강동구 양재대로 1360 (둔촌동) 포레온스테이션5 1063, 1064 1522-3232",37.52670891,127.1366722
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어) 1522-3232",37.55049218,126.8665096
등촌역,서울특별시 양천구 공항대로 566 (목동) 1층 2층 1522-3232,37.548884,126.86807
디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동) 1522-3232,37.57614873,126.8989479
뚝섬역,서울특별시 성동구 아차산로 42 (성수동1가) 1522-3232,37.546432,127.049042
뚝섬역교차로,서울특별시 성동구 아차산로 6 (성수동1가) 1522-3232,37.54775492,127.0451424
뚝섬한강공원,서울특별시 광진구 강변북로 2234 (자양동) 1522-3232,37.52833825,127.0682726
롯데캐슬여의도,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어) 1층 104호 1522-3232",37.52025214,126.9263678
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동) 1522-3232,37.50268239,127.0441433
리저브광화문,서울특별시 종로구 세종대로 178 (세종로) 1522-3232,37.57242596,126.97768
리저브도산,서울특별시 강남구 선릉로155길 23 (신사동) 1522-3232,37.52554758,127.0377509
